x1,x2,y
3.764052345967664,2.400157208367223,0
2.9787379841057393,4.240893199201458,0
3.8675579901499675,1.022722120123589,0
2.9500884175255893,1.848642791702302,0
1.896781148206442,2.4105985019383724,0
2.144043571160878,3.4542735069629753,0
2.7610377251469935,2.121675016492828,0
2.4438632327454255,2.3336743273742666,0
3.4940790731576064,1.794841736234199,0
2.313067701650901,1.1459042606982752,0
-0.5529898158340787,2.653618595440361,0
2.8644361988595057,1.2578349795935582,0
4.269754623987607,0.5456343254012352,0
2.045758517301446,1.8128161499741664,0
3.5327792143584578,3.469358769900285,0
2.1549474256969163,2.3781625196021734,0
1.1122142523698872,0.019203531776073035,0
1.6520878506738474,2.15634896910398,0
3.2302906807277205,3.2023798487844113,0
1.6126731825920477,1.6976972494246645,0
0.9514470349329074,0.5799820628210248,0
0.2937298093749874,3.9507753952317897,0
1.4903478182483465,1.5619256983888137,0
0.7472046399500738,2.77749035583191,0
0.3861021524420485,1.7872597197860314,0
3.1045334388063246,4.386902497859262,1
3.489194862431127,2.819367815877588,1
3.971817771661345,4.4283318705304175,1
4.066517222383168,4.302471897739782,1
3.3656779063190365,3.637258834012862,1
3.327539552224049,3.6404468384594586,1
3.186853717955546,2.273717397668323,1
4.177426142253752,3.598219063791738,1
2.3698016530339556,4.462782255525775,1
3.092701635616758,4.051945395796139,1
4.729090562177537,4.1289829107574105,1
5.1394006845433005,2.7651741796463476,1
4.402341641177549,3.315189909059687,1
3.1292028508181184,3.4211503352355845,1
3.6884474678726273,4.056165342229745,1
2.8348501592166437,4.9008264869541875,1
4.46566243973046,2.4637563137227763,1
5.488252193795599,5.895889176030583,1
5.178779571159651,3.820075164187649,1
2.9292473784894577,5.054451726931137,1
3.5968230530268204,5.2224450703824274,1
4.208274978076861,4.9766390364837125,1
4.356366397174402,4.706573168191948,1
4.01050002072082,5.785870493905835,1
4.12691209270362,4.401989363444701,1
